pygame 2.1.3.dev8 (SDL 2.26.1, Python 3.8.15)
Hello from the pygame community. https://www.pygame.org/contribute.html
Create path: ./checkpoints/DDPG/01/Actor successfully
Create path: ./checkpoints/DDPG/01/Target_actor successfully
Create path: ./checkpoints/DDPG/01/Critic successfully
Create path: ./checkpoints/DDPG/01/Target_critic successfully
Ep: 1 Flag:0 Reward: 593.901147 1000.000000 
Ep: 2 Flag:0 Reward: -82.381227 1000.000000 
Ep: 3 Flag:0 Reward: -141.981539 1000.000000 
Ep: 4 Flag:0 Reward: -266.668326 1000.000000 
Ep: 5 Flag:0 Reward: -614.526663 1000.000000 
Ep: 6 Flag:0 Reward: 499.625940 1000.000000 
Ep: 7 Flag:0 Reward: 235.195578 1000.000000 
Ep: 8 Flag:0 Reward: 51.010343 1000.000000 
Ep: 9 Flag:0 Reward: 918.241035 1000.000000 
Ep: 10 Flag:0 Reward: 332.311314 1000.000000 
Ep: 11 Flag:0 Reward: 549381.271362 1000.000000 
Ep: 12 Flag:0 Reward: 305.292650 1000.000000 
Ep: 13 Flag:0 Reward: 876.447690 1000.000000 
Ep: 14 Flag:0 Reward: 99.329306 1000.000000 
Ep: 15 Flag:0 Reward: 50702.859966 1000.000000 
Ep: 16 Flag:0 Reward: -437.782275 1000.000000 
Ep: 17 Flag:0 Reward: -935.056801 1000.000000 
Ep: 18 Flag:0 Reward: 144.481495 1000.000000 
Ep: 19 Flag:0 Reward: -395.302509 1000.000000 
Ep: 20 Flag:0 Reward: -659.684830 1000.000000 
Ep: 21 Flag:0 Reward: -231.499745 1000.000000 
Ep: 22 Flag:0 Reward: 456.533341 1000.000000 
Ep: 23 Flag:0 Reward: -931.429306 1000.000000 
Ep: 24 Flag:0 Reward: 436022.370108 1000.000000 
Ep: 25 Flag:0 Reward: -319.142684 1000.000000 
Ep: 26 Flag:0 Reward: -22.383421 1000.000000 
Ep: 27 Flag:0 Reward: -925.437172 1000.000000 
Ep: 28 Flag:0 Reward: 584.959534 1000.000000 
Ep: 29 Flag:0 Reward: 124.747593 1000.000000 
Ep: 30 Flag:0 Reward: 971.255334 1000.000000 
Ep: 31 Flag:0 Reward: 387130.820656 1000.000000 
Ep: 32 Flag:0 Reward: 149.851072 1000.000000 
Ep: 33 Flag:0 Reward: 659.013616 1000.000000 
Ep: 34 Flag:0 Reward: 534.232412 1000.000000 
Ep: 35 Flag:0 Reward: -280.158955 1000.000000 
Ep: 36 Flag:0 Reward: -682.313803 1000.000000 
Ep: 37 Flag:0 Reward: -962.667374 1000.000000 
Ep: 38 Flag:0 Reward: 294.889168 1000.000000 
Ep: 39 Flag:0 Reward: -903.990320 1000.000000 
Out of field
Ep: 40 Flag:-1 Reward: 489528.608248 728.000000 
Ep: 41 Flag:0 Reward: -288.786966 1000.000000 
Ep: 42 Flag:0 Reward: -4.981308 1000.000000 
Ep: 43 Flag:0 Reward: -762.049427 1000.000000 
Ep: 44 Flag:0 Reward: -832.373767 1000.000000 
Ep: 45 Flag:0 Reward: 229.370309 1000.000000 
Ep: 46 Flag:0 Reward: 34.220404 1000.000000 
Ep: 47 Flag:0 Reward: -974.121629 1000.000000 
Ep: 48 Flag:0 Reward: -225.273915 1000.000000 
Ep: 49 Flag:0 Reward: -907.888546 1000.000000 
Ep: 50 Flag:0 Reward: -415.258147 1000.000000 
Ep: 51 Flag:0 Reward: 277.731301 1000.000000 
Ep: 52 Flag:0 Reward: -94.442489 1000.000000 
Ep: 53 Flag:0 Reward: -466.018615 1000.000000 
Ep: 54 Flag:0 Reward: -601.910688 1000.000000 
Ep: 55 Flag:0 Reward: -922.971771 1000.000000 
Ep: 56 Flag:0 Reward: -51.855451 1000.000000 
Ep: 57 Flag:0 Reward: -867.194765 1000.000000 
Ep: 58 Flag:0 Reward: 553.069752 1000.000000 
Ep: 59 Flag:0 Reward: 266.167440 1000.000000 
Ep: 60 Flag:0 Reward: -561.781822 1000.000000 
Ep: 61 Flag:0 Reward: 445571.417180 1000.000000 
Ep: 62 Flag:0 Reward: -678.068370 1000.000000 
Ep: 63 Flag:0 Reward: -16.630320 1000.000000 
Ep: 64 Flag:0 Reward: -923.613563 1000.000000 
Ep: 65 Flag:0 Reward: 269405.099408 1000.000000 
Ep: 66 Flag:0 Reward: -218.733175 1000.000000 
Ep: 67 Flag:0 Reward: -408.904229 1000.000000 
Ep: 68 Flag:0 Reward: -585.537730 1000.000000 
Ep: 69 Flag:0 Reward: 414803.895551 1000.000000 
Ep: 70 Flag:0 Reward: -973.145257 1000.000000 
Ep: 71 Flag:0 Reward: 33.398028 1000.000000 
Ep: 72 Flag:0 Reward: 350.982299 1000.000000 
Ep: 73 Flag:0 Reward: 604.927980 1000.000000 
Ep: 74 Flag:0 Reward: -382.324609 1000.000000 
Ep: 75 Flag:0 Reward: 314.438194 1000.000000 
Ep: 76 Flag:0 Reward: -822.484570 1000.000000 
Ep: 77 Flag:0 Reward: -176.645188 1000.000000 
Ep: 78 Flag:0 Reward: -166.369206 1000.000000 
Ep: 79 Flag:0 Reward: -663.625396 1000.000000 
Ep: 80 Flag:0 Reward: 228.151525 1000.000000 
Ep: 81 Flag:0 Reward: 80.599289 1000.000000 
Ep: 82 Flag:0 Reward: -94.306537 1000.000000 
Ep: 83 Flag:0 Reward: 475748.215736 1000.000000 
Ep: 84 Flag:0 Reward: 383304.443256 1000.000000 
Ep: 85 Flag:0 Reward: 249.958525 1000.000000 
Ep: 86 Flag:0 Reward: 507.287316 1000.000000 
Ep: 87 Flag:0 Reward: 533.406904 1000.000000 
Ep: 88 Flag:0 Reward: 552.255266 1000.000000 
Ep: 89 Flag:0 Reward: -787.400304 1000.000000 
Ep: 90 Flag:0 Reward: 295.457453 1000.000000 
Ep: 91 Flag:0 Reward: 505.334522 1000.000000 
Ep: 92 Flag:0 Reward: 184.569897 1000.000000 
Ep: 93 Flag:0 Reward: -709.760233 1000.000000 
Ep: 94 Flag:0 Reward: -767.055754 1000.000000 
Ep: 95 Flag:0 Reward: -843.876890 1000.000000 
Ep: 96 Flag:0 Reward: -159.597225 1000.000000 
Ep: 97 Flag:0 Reward: -320.214699 1000.000000 
Ep: 98 Flag:0 Reward: -37.970213 1000.000000 
Ep: 99 Flag:0 Reward: -685.658718 1000.000000 
Ep: 100 Flag:0 Reward: 213429.922643 1000.000000 
Ep: 101 Flag:0 Reward: 406.493311 1000.000000 
Ep: 102 Flag:0 Reward: -252.893484 1000.000000 
Ep: 103 Flag:0 Reward: 1779.092855 1000.000000 
Ep: 104 Flag:0 Reward: 200.158350 1000.000000 
Ep: 105 Flag:0 Reward: -802.614007 1000.000000 
Ep: 106 Flag:0 Reward: -224.965648 1000.000000 
Ep: 107 Flag:0 Reward: 858.073754 1000.000000 
Ep: 108 Flag:0 Reward: -50.796568 1000.000000 
Ep: 109 Flag:0 Reward: 214.428751 1000.000000 
Ep: 110 Flag:0 Reward: 650.314794 1000.000000 
Ep: 111 Flag:0 Reward: -830.625241 1000.000000 
Ep: 112 Flag:0 Reward: 620.674828 1000.000000 
Ep: 113 Flag:0 Reward: -140.931592 1000.000000 
Ep: 114 Flag:0 Reward: -105.072951 1000.000000 
Ep: 115 Flag:0 Reward: -129.753726 1000.000000 
Ep: 116 Flag:0 Reward: 141.350484 1000.000000 
Ep: 117 Flag:0 Reward: -20.647405 1000.000000 
Ep: 118 Flag:0 Reward: -840.438252 1000.000000 
